Consumer Price Index for All Urban Consumers (CPI-U),,,,,,,,,,,,
1-Month Percent Change,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,CUSR0000SA0,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series Title:,"All items in U.S. city average, all urban consumers, seasonally adjusted",,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,
Item:,All items,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,
Years:,1947 to 2026,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2002,0.2,0.2,0.3,0.4,0.1,0.1,0.2,0.3,0.2,0.2,0.2,0.2
2003,0.4,0.5,0.2,-0.4,-0.2,0.1,0.3,0.4,0.3,-0.1,0.1,0.3
2004,0.4,0.2,0.2,0.2,0.4,0.4,0.1,0.1,0.3,0.5,0.5,0.0
2005,-0.1,0.4,0.4,0.3,-0.1,0.1,0.6,0.6,1.4,0.2,-0.5,0.0
2006,0.6,0.1,0.2,0.5,0.3,0.2,0.5,0.4,-0.5,-0.4,0.0,0.5
2007,0.2,0.4,0.5,0.3,0.4,0.2,0.2,0.0,0.4,0.3,0.8,0.3
2008,0.3,0.2,0.4,0.2,0.6,1.0,0.7,-0.1,0.1,-0.9,-1.8,-0.8
2009,0.3,0.4,-0.1,0.1,0.1,0.8,0.0,0.3,0.2,0.3,0.3,0.1
2010,0.1,-0.1,0.0,0.0,-0.1,0.0,0.2,0.1,0.2,0.3,0.3,0.4
2011,0.3,0.3,0.5,0.5,0.3,0.0,0.3,0.3,0.2,0.1,0.2,0.0
2012,0.3,0.2,0.2,0.2,-0.2,-0.1,0.0,0.6,0.5,0.3,-0.2,0.0
2013,0.2,0.5,-0.3,-0.2,0.0,0.2,0.2,0.2,0.0,0.1,0.2,0.3
2014,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.0,-0.2,-0.3
2015,-0.6,0.3,0.3,0.1,0.3,0.3,0.2,0.0,-0.2,0.1,0.1,-0.1
2016,0.0,-0.1,0.3,0.4,0.2,0.3,-0.1,0.2,0.3,0.2,0.1,0.3
2017,0.4,0.2,0.0,0.1,-0.1,0.1,0.0,0.4,0.5,0.1,0.3,0.2
2018,0.4,0.3,0.0,0.3,0.2,0.1,0.1,0.2,0.2,0.2,-0.1,0.1
2019,-0.1,0.3,0.4,0.4,0.0,0.0,0.2,0.1,0.2,0.3,0.3,0.3
2020,0.2,0.0,-0.5,-0.8,-0.1,0.5,0.5,0.4,0.3,0.1,0.2,0.4
2021,0.2,0.3,0.5,0.6,0.7,0.8,0.5,0.3,0.5,1.0,0.9,0.7
2022,0.6,0.7,1.1,0.3,0.9,1.3,0.0,0.1,0.4,0.6,0.3,0.0
2023,0.5,0.3,0.1,0.3,0.2,0.2,0.2,0.5,0.4,0.1,0.1,0.2
2024,0.3,0.4,0.4,0.2,0.0,0.0,0.2,0.2,0.2,0.3,0.3,0.3
2025,0.4,0.2,0.0,0.2,0.1,0.3,0.2,0.3,0.3,,,0.3
2026,0.2,0.3,,,,,,,,,,
